Subject_Name,GABA_Amplitude,Glx_Amplitude,Cr_Amplitude,Cho_Amplitude,NAA_Amplitude,GABA_GOF,Glx_GOF,Cr_GOF,Cho_GOF,NAA_GOF,Cr_FWHM,NSDR_GABA,NSDR_Glx
Subject001,27.0605,18.2283,240.4645,159.4587,189.5259,0.097787,0.064251,0.0088521,0.44121,0.0038529,24.6186,3.8195,4.2344
Subject002,43.4699,25.6663,294.0395,175.9689,285.5635,0.048058,0.080083,0.0082856,0.12377,0.0034548,27.2429,2.2924,3.6364
Subject003,21.3731,26.8767,337.4087,256.9177,322.6031,0.088015,0.10412,0.009838,1.474,0.0039084,25.7433,4.4237,4.2017

Subject004,42.2841,20.3108,311.5084,208.4737,297.913,0.10243,0.13277,0.013093,0.33262,0.0038912,25.4933,6.3118,6.9135,
Subject005,34.7731,47.526,341.9392,258.5568,384.5791,0.074085,0.032318,0.015224,0.19041,0.0090637,19.3699,5.5624,2.6195,
Subject006,26.9044,41.9927,312.9689,198.1451,329.3165,0.13481,0.064611,0.010126,0.14191,0.006123,20.2447,7.1269,3.689,
